uuid,fileName,wid,location,description,short,keywords,validated,project,department
105019,boston copy 31.mov,4620,,this is a description about some non-standard thing that happened that should be pretty long based on what happened. no weird characters here,nothing weird,team,TRUE,,Media
105020,boston copy 32.mov,4620,Game,this is a description about a game that should be pretty long based on what happened. No quotes to include today.,,person,TRUE,Post,Media
101002,boston copy 33.mov,4611,Offsite,this is a description about some non-standard thing that happened that should be pretty long based on what happened. no weird characters here,nothing weird,person,TRUE,,Media
105021,boston copy 34.mov,4620,Practice,this is a description about a game that should be pretty long based on what happened. No more weird strings here.,nothing weird,"charity,person",,Customs,
,boston copy 35.mov,4620,Game,"this is a description about a game that should be pretty long based on what happened. Including a quote from a player that said, ""Something like this"".",quotes,,TRUE,Training,Media
105023,boston copy 36.mov,4620,Game,this is a description about a game that should be pretty long based on what happened. No quotes to include today.,nothing weird,"team,lockers,half",TRUE,Post,Media
,boston copy 38.mov,4621,Practice,this is a description about a game that should be pretty long based on what happened. No more weird strings here.,nothing weird,team,TRUE,Post,Media
105025,boston copy 39.mov,4621,Game,,,person,TRUE,Training,Media
201111,camera.jpg,4610,Game,"this is a description about a game that should be pretty long based on what happened. Including a quote from a player that said, ""Something like this"".",quotes,coach,,Post,
201112,editting.jpeg,4611,Practice,this is a description about a game that should be pretty long based on what happened. No more weird strings here.,nothing weird,coach,TRUE,Training,Media
312100,some text file.txt,4610,Other,qoiriwiqriqwirqrkrijj  jsdajsajdja djasdjajjjieieie skdnvnrnnnisisis,gibberish,,TRUE,Post,Media
312101,document.txt,4611,Other,jhjhjkhtjjttjt ddwwiowoqoqoqo fdgfdgdfgjhjrjr,gibberish,,TRUE,Post,Media
505661,sample.aac,4610,Game,this is a description about a game that should be pretty long based on what happened. No quotes to include today.,nothing weird,team,TRUE,Training,Media
505600,sample.mp3,4611,Game,this is a description about a game that should be pretty long based on what happened. No quotes to include today.,,person,FALSE,Post,Media
505610,sample.wav,4612,Game,this is a description about a game that should be pretty long based on what happened. No quotes to include today.,nothing weird,coach,TRUE,Special Project 001,
664301,sample.pptx,4610,Other,ghhhjddkdkdkd riririqo vvmbnjyyypa,gibberish,,TRUE,Special Project 001,Top Secret
333333,abcdefg.txt,1234,,Something goes here,,,TRUE,Special Project 001,Top Secret
